# generation,lower_bound,upper_bound,mean,stdev
1,2853,2965,2900.00000,33.28663
2,2853,2965,2900.00000,33.28663
3,2853,2934,2891.00000,23.72762
4,2833,2906,2870.00000,21.04757
5,2833,2890,2861.00000,17.00000
6,2833,2890,2856.00000,17.66352
7,2826,2890,2854.00000,17.77639
8,2826,2875,2852.00000,14.83240
9,2813,2875,2844.00000,19.49359
10,2797,2875,2839.00000,25.15949
11,2797,2875,2838.00000,26.92582
12,2797,2862,2832.00000,23.43075
13,2797,2862,2832.00000,23.43075
14,2797,2862,2830.00000,22.04541
15,2797,2862,2828.00000,22.62742
16,2780,2862,2823.00000,27.27636
17,2780,2859,2821.00000,27.03701
18,2780,2859,2820.00000,27.91057
19,2780,2859,2820.00000,27.29469
20,2780,2859,2819.00000,28.17801
21,2778,2859,2818.00000,29.54657
22,2778,2859,2813.00000,27.56810
23,2778,2853,2812.00000,25.41653
24,2774,2853,2809.00000,24.14539
25,2774,2853,2807.00000,23.95830
26,2774,2853,2806.00000,23.97916
27,2774,2853,2805.00000,25.07987
28,2774,2853,2803.00000,23.36664
29,2774,2853,2803.00000,23.36664
30,2774,2843,2801.00000,21.37756
31,2774,2843,2801.00000,21.37756
32,2773,2843,2800.00000,22.53886
33,2773,2843,2799.00000,22.40536
34,2773,2837,2796.00000,21.63331
35,2770,2837,2794.00000,22.80351
36,2770,2812,2789.00000,15.71623
37,2770,2811,2789.00000,15.93738
38,2770,2811,2785.00000,15.06652
39,2770,2811,2785.00000,15.06652
40,2770,2811,2785.00000,14.96663
41,2770,2811,2785.00000,14.96663
42,2770,2809,2784.00000,14.56022
43,2770,2809,2784.00000,14.56022
44,2765,2809,2783.00000,15.55635
45,2765,2809,2783.00000,15.55635
46,2765,2809,2782.00000,15.81139
47,2765,2809,2781.00000,16.15549
48,2765,2809,2781.00000,16.15549
49,2765,2809,2781.00000,16.15549
50,2765,2809,2781.00000,16.15549
51,2765,2809,2781.00000,16.15549
52,2765,2809,2781.00000,16.15549
53,2765,2809,2780.00000,16.61325
54,2765,2809,2780.00000,16.61325
55,2765,2809,2780.00000,16.61325
56,2762,2809,2779.00000,16.46208
57,2762,2809,2777.00000,15.42725
58,2762,2809,2777.00000,15.42725
59,2762,2809,2777.00000,15.42725
60,2762,2809,2777.00000,15.42725
61,2762,2803,2777.00000,14.14214
62,2762,2803,2777.00000,14.14214
63,2762,2803,2777.00000,14.14214
64,2762,2802,2776.00000,13.19091
65,2762,2802,2776.00000,13.19091
66,2762,2802,2776.00000,13.19091
67,2762,2802,2776.00000,13.37909
68,2762,2802,2776.00000,13.37909
69,2762,2802,2775.00000,11.74734
70,2762,2802,2774.00000,12.04159
71,2762,2802,2774.00000,12.04159
72,2762,2802,2774.00000,11.95826
73,2762,2802,2774.00000,11.95826
74,2752,2802,2771.00000,12.96148
75,2752,2802,2771.00000,12.96148
76,2752,2802,2771.00000,12.96148
77,2752,2802,2771.00000,12.96148
78,2752,2802,2771.00000,12.96148
79,2752,2802,2769.00000,14.31782
80,2752,2802,2769.00000,14.31782
81,2752,2802,2769.00000,14.31782
82,2752,2802,2769.00000,14.31782
83,2752,2802,2769.00000,14.31782
84,2752,2802,2769.00000,14.31782
85,2752,2802,2769.00000,14.31782
86,2752,2802,2768.00000,14.62874
87,2752,2802,2768.00000,14.62874
88,2752,2802,2767.00000,14.79865
89,2752,2802,2767.00000,14.79865
90,2752,2802,2767.00000,14.79865
91,2752,2802,2767.00000,14.79865
92,2752,2802,2767.00000,14.69694
93,2752,2802,2767.00000,14.69694
94,2752,2802,2767.00000,14.69694
95,2752,2802,2767.00000,14.69694
96,2752,2802,2767.00000,14.69694
97,2752,2802,2767.00000,14.69694
98,2752,2802,2767.00000,14.69694
99,2752,2802,2767.00000,14.69694
100,2752,2802,2767.00000,14.69694
101,2752,2802,2767.00000,14.69694
102,2752,2802,2767.00000,14.69694
103,2752,2802,2767.00000,14.69694
104,2752,2802,2767.00000,14.69694
105,2752,2802,2767.00000,14.69694
106,2752,2802,2767.00000,14.69694
107,2752,2802,2767.00000,14.69694
108,2752,2802,2767.00000,14.69694
109,2752,2802,2767.00000,14.69694
110,2752,2802,2767.00000,14.69694
111,2752,2802,2767.00000,14.69694
112,2752,2802,2767.00000,14.69694
113,2752,2802,2767.00000,14.69694
114,2752,2802,2767.00000,14.69694
115,2752,2802,2767.00000,14.69694
116,2745,2802,2766.00000,16.18641
117,2745,2802,2766.00000,16.18641
118,2745,2802,2766.00000,16.18641
119,2745,2802,2766.00000,16.18641
120,2745,2802,2766.00000,16.18641
121,2745,2802,2766.00000,16.18641
122,2745,2802,2766.00000,16.18641
123,2745,2802,2766.00000,16.18641
124,2745,2802,2766.00000,16.18641
125,2745,2802,2766.00000,16.18641
126,2745,2786,2764.00000,12.64911
127,2745,2786,2764.00000,12.64911
128,2745,2786,2764.00000,12.64911
129,2745,2786,2764.00000,12.84523
130,2745,2786,2764.00000,12.84523
131,2745,2786,2764.00000,12.84523
132,2745,2786,2764.00000,12.84523
133,2745,2786,2764.00000,12.84523
134,2745,2784,2763.00000,12.49000
135,2745,2784,2763.00000,12.49000
136,2745,2784,2763.00000,12.49000
137,2745,2784,2763.00000,12.49000
138,2745,2784,2763.00000,12.49000
139,2745,2784,2763.00000,12.49000
140,2745,2784,2763.00000,12.49000
141,2745,2784,2763.00000,12.49000
142,2745,2784,2763.00000,12.49000
143,2745,2784,2763.00000,12.49000
144,2745,2784,2763.00000,12.49000
145,2745,2784,2763.00000,12.49000
146,2745,2784,2763.00000,12.49000
147,2745,2784,2763.00000,12.49000
148,2745,2784,2763.00000,12.49000
149,2745,2784,2763.00000,12.49000
150,2745,2784,2763.00000,12.49000
151,2745,2784,2763.00000,12.49000
152,2745,2784,2763.00000,12.49000
153,2745,2784,2763.00000,12.49000
154,2745,2784,2763.00000,12.16553
155,2745,2784,2763.00000,12.16553
156,2745,2784,2763.00000,12.16553
157,2745,2784,2763.00000,12.16553
158,2745,2784,2762.00000,12.00000
159,2745,2784,2762.00000,12.00000
160,2745,2784,2762.00000,12.00000
161,2745,2784,2762.00000,12.00000
162,2745,2784,2762.00000,12.00000
163,2745,2784,2761.00000,12.32883
164,2745,2784,2761.00000,12.32883
165,2745,2784,2761.00000,12.32883
166,2745,2784,2761.00000,12.32883
167,2745,2784,2761.00000,12.52996
168,2745,2784,2761.00000,12.52996
169,2745,2784,2761.00000,12.72792
170,2745,2784,2761.00000,12.72792
171,2745,2784,2761.00000,12.72792
172,2745,2784,2761.00000,12.72792
173,2745,2784,2761.00000,12.72792
174,2745,2784,2761.00000,12.72792
175,2745,2784,2761.00000,12.72792
176,2745,2784,2761.00000,12.72792
177,2745,2784,2761.00000,12.72792
178,2745,2784,2761.00000,12.72792
179,2745,2784,2761.00000,12.72792
180,2745,2784,2761.00000,12.72792
181,2745,2784,2761.00000,12.72792
182,2745,2784,2761.00000,12.72792
183,2745,2784,2760.00000,12.08305
184,2745,2784,2760.00000,12.08305
185,2745,2784,2760.00000,12.08305
186,2745,2784,2760.00000,12.08305
187,2745,2784,2760.00000,12.08305
188,2745,2784,2760.00000,12.08305
189,2745,2784,2760.00000,12.08305
190,2745,2784,2760.00000,12.08305
191,2745,2784,2760.00000,12.08305
192,2745,2784,2760.00000,12.08305
193,2745,2784,2760.00000,12.08305
194,2745,2784,2760.00000,12.08305
195,2745,2784,2760.00000,12.08305
196,2745,2784,2760.00000,12.08305
197,2745,2784,2759.00000,11.53256
198,2745,2784,2759.00000,11.53256
199,2745,2784,2759.00000,11.53256
200,2745,2784,2759.00000,11.53256
201,2745,2784,2759.00000,11.53256
202,2745,2784,2759.00000,11.53256
203,2745,2784,2759.00000,11.53256
204,2745,2784,2759.00000,11.53256
205,2745,2784,2759.00000,11.53256
206,2745,2784,2759.00000,11.53256
207,2745,2784,2759.00000,11.53256
208,2745,2784,2759.00000,11.40175
209,2745,2784,2759.00000,11.40175
210,2745,2784,2759.00000,11.40175
211,2745,2784,2759.00000,11.40175
212,2745,2784,2759.00000,11.40175
213,2745,2784,2759.00000,11.40175
214,2745,2784,2759.00000,11.22497
215,2745,2784,2759.00000,11.22497
216,2745,2784,2759.00000,11.22497
217,2745,2784,2759.00000,11.22497
218,2745,2784,2759.00000,11.22497
219,2745,2784,2758.00000,11.18034
220,2745,2784,2758.00000,11.18034
221,2745,2784,2758.00000,11.18034
222,2745,2784,2758.00000,11.18034
223,2745,2784,2758.00000,11.18034
224,2745,2784,2758.00000,11.18034
225,2745,2784,2758.00000,11.18034
226,2745,2784,2758.00000,11.04536
227,2745,2784,2758.00000,11.04536
228,2745,2784,2758.00000,11.04536
229,2745,2784,2758.00000,11.04536
230,2745,2784,2757.00000,10.81665
231,2745,2784,2757.00000,10.81665
232,2745,2784,2757.00000,10.81665
233,2745,2784,2757.00000,10.81665
234,2745,2784,2757.00000,10.81665
235,2745,2784,2757.00000,10.86278
236,2745,2784,2757.00000,10.86278
237,2745,2784,2757.00000,10.86278
238,2745,2784,2757.00000,10.86278
239,2745,2784,2757.00000,10.86278
240,2745,2784,2757.00000,10.86278
241,2745,2784,2757.00000,10.86278
242,2745,2784,2757.00000,10.86278
243,2745,2784,2757.00000,10.86278
244,2745,2784,2757.00000,10.86278
245,2745,2784,2757.00000,10.86278
246,2745,2784,2757.00000,10.86278
247,2745,2784,2756.00000,10.90871
248,2745,2784,2756.00000,10.90871
249,2745,2784,2756.00000,10.90871
250,2745,2784,2756.00000,10.90871
