# generation,lower_bound,upper_bound,mean,stdev
1,4456,4605,4550.00000,52.65928
2,4456,4605,4550.00000,52.65928
3,4456,4605,4541.00000,46.79744
4,4456,4580,4523.00000,41.42463
5,4456,4572,4521.00000,38.58756
6,4456,4566,4516.00000,39.64846
7,4456,4566,4511.00000,36.87818
8,4444,4566,4501.00000,37.82856
9,4444,4566,4500.00000,37.96051
10,4444,4566,4499.00000,37.93415
11,4435,4566,4496.00000,41.08528
12,4414,4541,4486.00000,39.03844
13,4414,4541,4482.00000,40.89010
14,4414,4526,4478.00000,36.37307
15,4414,4526,4478.00000,36.37307
16,4414,4526,4467.00000,36.01389
17,4394,4526,4464.00000,39.21734
18,4394,4526,4462.00000,38.80722
19,4394,4526,4462.00000,38.76854
20,4394,4525,4456.00000,39.23009
21,4394,4525,4456.00000,39.23009
22,4394,4525,4451.00000,41.04875
23,4394,4525,4449.00000,40.57093
24,4394,4525,4449.00000,40.57093
25,4355,4523,4443.00000,47.03190
26,4355,4523,4443.00000,47.03190
27,4355,4505,4439.00000,42.44997
28,4355,4505,4439.00000,42.44997
29,4355,4505,4434.00000,44.30576
30,4355,4505,4423.00000,43.74929
31,4355,4505,4423.00000,44.00000
32,4345,4505,4417.00000,45.38722
33,4345,4505,4409.00000,45.61798
34,4331,4505,4404.00000,51.48786
35,4331,4500,4401.00000,51.29327
36,4331,4500,4401.00000,51.29327
37,4331,4500,4401.00000,51.29327
38,4331,4500,4400.00000,51.46844
39,4331,4500,4400.00000,51.46844
40,4331,4500,4393.00000,50.93133
41,4331,4500,4390.00000,48.61070
42,4331,4500,4389.00000,48.38388
43,4331,4493,4388.00000,46.62617
44,4331,4493,4384.00000,49.77951
45,4331,4493,4376.00000,51.45872
46,4331,4479,4374.00000,48.00000
47,4331,4479,4374.00000,48.52834
48,4302,4479,4370.00000,52.67827
49,4302,4479,4370.00000,52.67827
50,4302,4457,4368.00000,47.88528
51,4302,4457,4367.00000,47.80167
52,4302,4457,4367.00000,47.78075
53,4302,4457,4365.00000,46.48656
54,4302,4457,4365.00000,46.48656
55,4302,4457,4360.00000,42.00000
56,4298,4457,4359.00000,42.62628
57,4298,4457,4359.00000,42.53234
58,4298,4457,4359.00000,42.53234
59,4298,4457,4359.00000,42.53234
60,4298,4452,4358.00000,41.23106
61,4298,4452,4353.00000,42.72002
62,4298,4443,4351.00000,40.13726
63,4298,4431,4345.00000,36.08324
64,4298,4407,4342.00000,30.03331
65,4298,4407,4342.00000,30.03331
66,4298,4407,4342.00000,30.03331
67,4298,4407,4341.00000,30.41381
68,4298,4407,4341.00000,30.46309
69,4298,4407,4340.00000,31.74902
70,4298,4407,4340.00000,31.74902
71,4298,4407,4339.00000,31.11270
72,4298,4407,4339.00000,31.11270
73,4291,4386,4336.00000,27.58623
74,4291,4386,4336.00000,27.58623
75,4291,4386,4336.00000,27.58623
76,4291,4386,4336.00000,27.58623
77,4291,4386,4333.00000,27.42262
78,4286,4386,4331.00000,30.03331
79,4286,4386,4325.00000,29.30870
80,4286,4386,4325.00000,29.30870
81,4286,4386,4324.00000,30.06659
82,4286,4386,4324.00000,30.06659
83,4286,4376,4323.00000,27.87472
84,4286,4376,4323.00000,27.87472
85,4286,4376,4322.00000,28.01785
86,4279,4376,4318.00000,28.24889
87,4279,4376,4318.00000,28.24889
88,4279,4376,4318.00000,28.42534
89,4279,4376,4318.00000,28.42534
90,4279,4376,4318.00000,28.42534
91,4279,4376,4316.00000,30.59412
92,4239,4376,4311.00000,37.84178
93,4239,4376,4310.00000,38.07887
94,4239,4376,4310.00000,38.07887
95,4239,4368,4310.00000,36.61967
96,4239,4368,4310.00000,36.61967
97,4239,4368,4310.00000,36.61967
98,4239,4368,4310.00000,36.61967
99,4239,4368,4308.00000,36.20773
100,4239,4368,4308.00000,36.20773
101,4239,4368,4306.00000,37.74917
102,4239,4368,4306.00000,37.74917
103,4239,4368,4306.00000,37.74917
104,4239,4368,4304.00000,36.16628
105,4239,4368,4304.00000,36.16628
106,4239,4368,4302.00000,38.02631
107,4239,4368,4302.00000,38.02631
108,4239,4368,4302.00000,38.02631
109,4239,4368,4302.00000,38.02631
110,4239,4352,4300.00000,35.19943
111,4239,4333,4297.00000,31.49603
112,4239,4333,4297.00000,31.49603
113,4239,4333,4297.00000,31.49603
114,4239,4331,4297.00000,31.24100
115,4239,4331,4297.00000,31.24100
116,4239,4331,4297.00000,31.24100
117,4239,4331,4297.00000,31.24100
118,4239,4331,4297.00000,31.24100
119,4239,4331,4297.00000,31.38471
120,4239,4331,4297.00000,31.38471
121,4239,4331,4297.00000,31.38471
122,4239,4331,4297.00000,31.38471
123,4239,4331,4296.00000,33.10589
124,4239,4331,4296.00000,33.10589
125,4239,4331,4296.00000,33.10589
126,4239,4331,4296.00000,33.10589
127,4221,4331,4291.00000,39.35734
128,4221,4331,4291.00000,39.35734
129,4221,4331,4291.00000,39.35734
130,4221,4331,4291.00000,39.35734
131,4221,4331,4291.00000,39.35734
132,4221,4331,4291.00000,39.57272
133,4221,4331,4291.00000,39.57272
134,4221,4331,4291.00000,39.57272
135,4221,4331,4291.00000,39.57272
136,4221,4331,4291.00000,39.57272
137,4221,4331,4291.00000,39.57272
138,4221,4331,4291.00000,39.57272
139,4221,4331,4291.00000,39.57272
140,4221,4331,4291.00000,39.57272
141,4221,4331,4291.00000,39.57272
142,4221,4331,4291.00000,39.57272
143,4221,4331,4291.00000,39.57272
144,4210,4331,4289.00000,43.48563
145,4210,4331,4289.00000,43.48563
146,4210,4331,4289.00000,43.48563
147,4210,4331,4289.00000,43.48563
148,4210,4331,4289.00000,43.48563
149,4210,4331,4289.00000,43.48563
150,4210,4331,4289.00000,43.48563
151,4210,4331,4289.00000,43.48563
