# generation,lower_bound,upper_bound,mean,stdev
1,2501,2581,2553.00000,24.02082
2,2501,2581,2553.00000,24.02082
3,2494,2563,2538.00000,26.26785
4,2494,2561,2530.00000,21.79449
5,2494,2554,2525.00000,19.57039
6,2492,2546,2520.00000,19.51922
7,2479,2546,2512.00000,21.28380
8,2479,2546,2512.00000,21.28380
9,2479,2546,2512.00000,21.28380
10,2479,2539,2511.00000,20.17424
11,2479,2536,2510.00000,18.60108
12,2479,2536,2507.00000,17.08801
13,2479,2526,2504.00000,13.78405
14,2479,2526,2504.00000,13.78405
15,2476,2526,2499.00000,15.55635
16,2452,2519,2491.00000,19.18333
17,2452,2519,2491.00000,19.18333
18,2452,2519,2488.00000,21.84033
19,2452,2519,2488.00000,21.84033
20,2452,2519,2486.00000,20.51828
21,2452,2519,2486.00000,20.51828
22,2452,2518,2485.00000,20.32240
23,2452,2507,2483.00000,17.54993
24,2452,2507,2483.00000,17.54993
25,2452,2507,2483.00000,17.54993
26,2452,2507,2483.00000,17.54993
27,2452,2507,2482.00000,17.00000
28,2452,2507,2482.00000,16.94107
29,2452,2507,2481.00000,16.73320
30,2452,2497,2478.00000,14.17745
31,2452,2496,2477.00000,12.92285
32,2452,2496,2476.00000,13.15295
33,2452,2496,2476.00000,13.15295
34,2452,2496,2476.00000,13.15295
35,2452,2496,2475.00000,13.22876
36,2452,2496,2475.00000,13.22876
37,2452,2488,2470.00000,11.40175
38,2443,2488,2469.00000,13.22876
39,2443,2484,2467.00000,11.66190
40,2443,2484,2466.00000,11.70470
41,2443,2484,2466.00000,11.70470
42,2443,2484,2466.00000,11.70470
43,2443,2484,2465.00000,12.04159
44,2443,2484,2465.00000,12.04159
45,2443,2484,2465.00000,12.04159
46,2443,2484,2465.00000,12.04159
47,2443,2484,2464.00000,12.56981
48,2443,2484,2464.00000,12.56981
49,2443,2484,2464.00000,12.56981
50,2443,2484,2464.00000,12.56981
51,2443,2484,2464.00000,12.56981
52,2443,2484,2464.00000,12.56981
53,2443,2484,2464.00000,12.56981
54,2443,2484,2464.00000,12.56981
55,2443,2484,2464.00000,12.56981
56,2443,2484,2464.00000,12.56981
57,2443,2484,2464.00000,12.56981
58,2443,2484,2463.00000,12.28821
59,2443,2484,2463.00000,12.28821
60,2443,2484,2463.00000,12.28821
61,2443,2484,2463.00000,12.28821
62,2443,2484,2463.00000,12.64911
63,2443,2484,2463.00000,12.64911
64,2443,2484,2461.00000,13.82027
65,2443,2484,2461.00000,13.82027
66,2443,2484,2461.00000,13.82027
67,2434,2484,2458.00000,16.61325
68,2434,2484,2458.00000,16.64332
69,2434,2484,2458.00000,16.64332
70,2434,2484,2458.00000,16.64332
71,2434,2482,2458.00000,16.30951
72,2434,2482,2455.00000,15.13275
73,2434,2482,2455.00000,15.13275
74,2434,2482,2455.00000,15.13275
75,2401,2482,2451.00000,22.95648
76,2401,2482,2451.00000,22.95648
77,2401,2482,2451.00000,22.95648
78,2401,2482,2451.00000,22.95648
79,2401,2482,2451.00000,22.95648
80,2401,2482,2451.00000,22.95648
81,2401,2482,2451.00000,22.95648
82,2401,2482,2450.00000,23.04344
83,2401,2482,2450.00000,23.04344
84,2401,2482,2450.00000,23.04344
85,2401,2482,2450.00000,23.04344
86,2401,2482,2448.00000,23.36664
87,2401,2482,2448.00000,23.36664
88,2401,2482,2448.00000,23.36664
89,2401,2482,2448.00000,23.36664
90,2401,2482,2448.00000,23.36664
91,2401,2482,2448.00000,23.36664
92,2401,2482,2448.00000,23.36664
93,2401,2482,2448.00000,23.36664
94,2401,2482,2448.00000,23.36664
95,2401,2482,2448.00000,23.36664
96,2401,2482,2446.00000,26.05763
97,2401,2482,2446.00000,26.05763
98,2401,2482,2446.00000,26.05763
99,2401,2482,2446.00000,26.05763
100,2401,2482,2446.00000,26.05763
101,2401,2482,2446.00000,26.05763
102,2401,2482,2446.00000,26.05763
103,2401,2482,2446.00000,26.05763
104,2401,2482,2446.00000,26.05763
105,2401,2482,2446.00000,25.80698
106,2401,2482,2446.00000,25.80698
107,2401,2482,2445.00000,25.82634
108,2401,2482,2445.00000,25.82634
109,2401,2482,2445.00000,25.82634
110,2401,2482,2445.00000,25.82634
111,2401,2482,2445.00000,25.82634
112,2401,2482,2445.00000,25.82634
113,2401,2482,2445.00000,25.82634
114,2401,2482,2445.00000,25.82634
115,2401,2482,2445.00000,25.82634
116,2401,2482,2445.00000,25.82634
117,2400,2482,2444.00000,27.49545
118,2400,2482,2444.00000,27.49545
119,2400,2482,2444.00000,27.49545
120,2400,2482,2444.00000,27.49545
121,2400,2482,2444.00000,27.49545
122,2400,2482,2444.00000,27.49545
123,2400,2482,2444.00000,27.49545
124,2400,2482,2444.00000,27.49545
125,2400,2482,2444.00000,27.49545
126,2400,2482,2444.00000,27.49545
127,2400,2482,2444.00000,27.51363
128,2400,2482,2444.00000,27.51363
129,2400,2482,2444.00000,27.51363
130,2400,2482,2443.00000,26.75818
131,2400,2482,2443.00000,26.75818
132,2400,2482,2443.00000,26.75818
133,2400,2482,2443.00000,26.75818
134,2400,2482,2443.00000,26.75818
135,2400,2482,2443.00000,26.75818
136,2400,2482,2443.00000,26.75818
137,2400,2482,2443.00000,26.75818
138,2400,2482,2443.00000,26.75818
139,2400,2482,2443.00000,26.75818
140,2400,2482,2443.00000,26.75818
141,2400,2482,2443.00000,26.75818
142,2400,2482,2443.00000,26.75818
143,2400,2482,2443.00000,26.75818
144,2400,2482,2443.00000,26.75818
145,2400,2482,2442.00000,26.88866
146,2400,2482,2442.00000,26.88866
147,2400,2482,2442.00000,26.88866
148,2400,2482,2442.00000,26.88866
149,2400,2482,2442.00000,26.88866
150,2400,2482,2442.00000,26.88866
151,2400,2482,2442.00000,26.88866
152,2400,2482,2442.00000,26.88866
153,2400,2467,2439.00000,24.00000
154,2400,2467,2439.00000,24.00000
155,2400,2467,2439.00000,24.00000
156,2400,2467,2439.00000,24.00000
157,2400,2467,2439.00000,24.00000
158,2400,2467,2439.00000,24.00000
159,2400,2467,2439.00000,24.00000
160,2400,2467,2439.00000,24.00000
161,2400,2467,2439.00000,24.00000
162,2400,2467,2439.00000,24.00000
163,2400,2467,2439.00000,24.00000
164,2400,2467,2438.00000,24.18677
165,2400,2467,2438.00000,24.18677
166,2400,2467,2438.00000,24.18677
167,2400,2467,2436.00000,23.57965
168,2400,2467,2436.00000,23.57965
169,2400,2467,2436.00000,23.57965
170,2400,2467,2436.00000,23.57965
171,2400,2467,2436.00000,23.57965
172,2400,2467,2436.00000,23.57965
173,2400,2467,2436.00000,23.57965
174,2400,2467,2436.00000,23.57965
175,2400,2467,2435.00000,23.55844
176,2400,2467,2435.00000,23.55844
177,2400,2467,2434.00000,23.87467
178,2400,2467,2432.00000,24.87971
179,2400,2467,2432.00000,24.87971
180,2400,2465,2431.00000,23.15167
181,2400,2465,2431.00000,23.15167
182,2400,2465,2431.00000,23.15167
183,2400,2465,2430.00000,23.60085
184,2400,2465,2430.00000,23.60085
185,2400,2465,2430.00000,23.60085
186,2400,2465,2430.00000,23.60085
187,2400,2465,2430.00000,23.60085
188,2400,2465,2430.00000,23.60085
189,2400,2465,2430.00000,23.60085
190,2400,2465,2430.00000,23.60085
191,2400,2465,2430.00000,23.60085
192,2400,2465,2430.00000,23.60085
193,2400,2460,2429.00000,22.60531
194,2400,2460,2429.00000,22.60531
195,2400,2460,2429.00000,22.60531
196,2400,2460,2429.00000,22.60531
197,2400,2460,2429.00000,22.60531
198,2400,2460,2429.00000,22.60531
199,2400,2460,2429.00000,22.60531
200,2400,2460,2429.00000,22.60531
201,2400,2460,2429.00000,22.60531
202,2400,2460,2429.00000,22.60531
203,2400,2460,2429.00000,22.60531
204,2400,2460,2429.00000,22.60531
205,2400,2460,2429.00000,22.60531
206,2400,2460,2429.00000,22.60531
207,2400,2460,2429.00000,22.60531
208,2400,2460,2429.00000,22.60531
209,2400,2460,2429.00000,22.60531
210,2400,2460,2429.00000,22.60531
211,2400,2460,2429.00000,22.60531
212,2400,2460,2429.00000,22.60531
213,2400,2460,2429.00000,22.60531
214,2400,2460,2428.00000,22.73763
215,2400,2460,2428.00000,22.73763
216,2400,2460,2428.00000,22.73763
217,2400,2460,2428.00000,22.73763
218,2400,2460,2428.00000,22.73763
219,2400,2460,2428.00000,22.73763
220,2400,2460,2428.00000,22.73763
221,2400,2460,2428.00000,22.73763
222,2400,2460,2428.00000,22.73763
223,2389,2460,2427.00000,24.45404
224,2389,2460,2427.00000,24.45404
225,2389,2460,2427.00000,24.45404
226,2389,2460,2427.00000,24.45404
227,2389,2460,2427.00000,24.45404
228,2389,2460,2427.00000,24.45404
229,2389,2460,2427.00000,24.45404
230,2389,2460,2427.00000,24.45404
231,2389,2460,2427.00000,24.45404
232,2389,2460,2427.00000,24.45404
233,2389,2460,2427.00000,24.45404
234,2389,2460,2427.00000,24.45404
235,2389,2460,2427.00000,24.45404
236,2389,2460,2427.00000,24.45404
237,2389,2460,2427.00000,24.45404
238,2389,2460,2427.00000,24.45404
239,2389,2460,2427.00000,24.45404
240,2389,2460,2427.00000,24.45404
241,2389,2460,2427.00000,24.45404
242,2389,2460,2427.00000,24.45404
243,2389,2460,2427.00000,24.45404
244,2389,2460,2425.00000,24.83948
245,2389,2460,2425.00000,24.83948
246,2389,2460,2425.00000,24.83948
247,2389,2460,2425.00000,24.83948
248,2389,2460,2425.00000,24.83948
249,2389,2460,2425.00000,24.83948
250,2389,2460,2425.00000,24.83948
