# generation,lower_bound,upper_bound,mean,stdev
1,6503,6609,6544.00000,37.41657
2,6503,6609,6544.00000,37.41657
3,6443,6546,6514.00000,30.87070
4,6443,6535,6511.00000,27.96426
5,6398,6535,6503.00000,39.76179
6,6398,6526,6490.00000,41.50904
7,6398,6526,6467.00000,44.14748
8,6398,6515,6454.00000,36.97296
9,6398,6499,6438.00000,29.64793
10,6382,6499,6427.00000,32.37283
11,6377,6486,6421.00000,32.43455
12,6377,6486,6421.00000,32.43455
13,6341,6486,6413.00000,40.45986
14,6341,6486,6407.00000,40.63250
15,6332,6446,6399.00000,32.63434
16,6332,6432,6395.00000,28.39014
17,6332,6432,6389.00000,32.10919
18,6316,6432,6382.00000,34.71311
19,6316,6407,6377.00000,31.01612
20,6316,6407,6374.00000,30.82207
21,6314,6407,6369.00000,35.12834
22,6314,6400,6366.00000,33.64521
23,6314,6400,6359.00000,32.06244
24,6314,6400,6358.00000,30.77337
25,6313,6400,6358.00000,30.61046
26,6246,6387,6345.00000,42.24926
27,6246,6387,6345.00000,42.24926
28,6246,6387,6338.00000,41.10961
29,6246,6387,6338.00000,41.04875
30,6246,6387,6336.00000,41.23106
31,6246,6387,6335.00000,40.55860
32,6246,6374,6322.00000,38.18377
33,6246,6347,6313.00000,31.67018
34,6217,6347,6305.00000,37.98684
35,6217,6342,6303.00000,37.17526
36,6217,6342,6293.00000,40.84116
37,6217,6342,6292.00000,41.48494
38,6217,6342,6292.00000,41.48494
39,6217,6339,6287.00000,37.78889
40,6217,6339,6287.00000,37.78889
41,6217,6339,6287.00000,37.69615
42,6217,6339,6286.00000,37.66962
43,6215,6339,6282.00000,42.74342
44,6215,6339,6280.00000,43.89761
45,6215,6336,6273.00000,41.48494
46,6215,6336,6271.00000,43.25506
47,6215,6336,6271.00000,43.25506
48,6215,6336,6271.00000,43.15090
49,6215,6317,6268.00000,41.50904
50,6215,6317,6268.00000,41.50904
51,6169,6317,6263.00000,50.46781
52,6169,6317,6262.00000,50.90187
53,6169,6317,6260.00000,52.89612
54,6169,6317,6260.00000,52.89612
55,6112,6317,6252.00000,67.57218
56,6112,6317,6251.00000,66.71582
57,6112,6305,6247.00000,63.74167
58,6112,6305,6244.00000,61.70899
59,6112,6305,6244.00000,61.70899
60,6112,6305,6244.00000,61.70899
61,6110,6305,6243.00000,61.38404
62,6110,6305,6239.00000,59.89157
63,6110,6305,6236.00000,59.07622
64,6110,6305,6235.00000,59.11853
65,6110,6305,6234.00000,59.32959
66,6110,6305,6231.00000,61.08191
67,6110,6305,6230.00000,60.02499
68,6110,6298,6229.00000,59.08468
69,6110,6298,6227.00000,60.09160
70,6110,6298,6227.00000,60.09160
71,6110,6298,6227.00000,60.09160
72,6110,6298,6227.00000,60.09160
73,6110,6298,6227.00000,60.09160
74,6110,6297,6225.00000,58.49786
75,6110,6297,6224.00000,58.05170
76,6110,6297,6224.00000,58.05170
77,6110,6297,6220.00000,56.45352
78,6110,6297,6219.00000,56.16048
79,6110,6297,6218.00000,56.09813
80,6110,6297,6217.00000,54.76313
81,6110,6297,6217.00000,54.76313
82,6110,6297,6217.00000,54.76313
83,6110,6297,6217.00000,54.76313
84,6110,6297,6217.00000,54.76313
85,6110,6297,6217.00000,54.76313
86,6110,6297,6217.00000,54.44263
87,6110,6297,6217.00000,54.44263
88,6110,6294,6217.00000,53.96295
89,6110,6294,6215.00000,54.33231
90,6110,6294,6215.00000,54.33231
91,6110,6294,6214.00000,54.49771
92,6110,6294,6214.00000,54.49771
93,6110,6294,6213.00000,54.62600
94,6110,6294,6213.00000,54.62600
95,6110,6294,6213.00000,54.62600
96,6110,6294,6212.00000,53.69358
97,6110,6294,6212.00000,53.69358
98,6098,6294,6211.00000,56.32051
