# generation,lower_bound,upper_bound,mean,stdev
1,5698,5850,5766.00000,39.33192
2,5698,5850,5766.00000,39.33192
3,5690,5792,5744.00000,38.18377
4,5690,5783,5741.00000,35.09986
5,5674,5777,5722.00000,34.17601
6,5674,5777,5720.00000,33.63034
7,5669,5753,5695.00000,26.73948
8,5669,5749,5694.00000,25.78759
9,5669,5749,5694.00000,25.78759
10,5648,5728,5678.00000,24.18677
11,5648,5728,5677.00000,24.97999
12,5635,5728,5673.00000,28.16026
13,5631,5719,5669.00000,26.60827
14,5631,5719,5668.00000,27.14774
15,5626,5719,5662.00000,29.18904
16,5626,5716,5658.00000,29.86637
17,5626,5716,5658.00000,29.94996
18,5614,5716,5655.00000,31.65438
19,5614,5716,5655.00000,31.82766
20,5608,5716,5651.00000,35.21363
21,5608,5716,5645.00000,32.46537
22,5608,5716,5645.00000,32.46537
23,5602,5674,5638.00000,24.02082
24,5602,5674,5638.00000,24.18677
25,5602,5674,5637.00000,24.33105
26,5548,5674,5631.00000,37.08099
27,5548,5674,5630.00000,37.54997
28,5548,5674,5628.00000,35.45420
29,5548,5666,5625.00000,32.63434
30,5548,5666,5624.00000,32.80244
31,5548,5666,5623.00000,32.52691
32,5548,5666,5621.00000,32.00000
33,5548,5666,5618.00000,32.34192
34,5548,5650,5614.00000,28.16026
35,5548,5650,5613.00000,28.16026
36,5548,5650,5613.00000,28.16026
37,5548,5650,5613.00000,28.16026
38,5548,5650,5611.00000,29.25748
39,5548,5650,5611.00000,29.10326
40,5548,5650,5611.00000,29.10326
41,5548,5650,5610.00000,30.06659
42,5548,5643,5609.00000,29.52965
43,5548,5643,5609.00000,29.52965
44,5548,5643,5609.00000,29.52965
45,5548,5643,5609.00000,29.52965
46,5548,5643,5609.00000,29.52965
47,5548,5643,5608.00000,29.61419
48,5548,5643,5606.00000,28.21347
49,5548,5639,5605.00000,28.51315
50,5548,5639,5605.00000,28.46050
51,5548,5631,5600.00000,25.67100
52,5548,5631,5600.00000,25.67100
53,5546,5631,5600.00000,26.11513
54,5546,5631,5598.00000,25.51470
55,5546,5631,5596.00000,25.72936
56,5546,5631,5596.00000,25.72936
57,5546,5631,5595.00000,25.05993
58,5546,5631,5595.00000,25.05993
59,5546,5631,5595.00000,25.05993
60,5546,5631,5594.00000,24.93993
61,5546,5631,5590.00000,28.03569
62,5546,5631,5590.00000,28.37252
63,5546,5631,5589.00000,28.42534
64,5546,5631,5589.00000,28.60070
65,5546,5631,5585.00000,30.14963
66,5546,5631,5585.00000,30.14963
67,5546,5626,5581.00000,27.54995
68,5546,5626,5581.00000,27.54995
69,5546,5626,5581.00000,27.49545
70,5546,5626,5581.00000,27.49545
71,5546,5626,5581.00000,27.49545
72,5538,5626,5576.00000,28.77499
73,5538,5626,5572.00000,27.78489
74,5538,5626,5571.00000,28.31960
75,5538,5626,5571.00000,28.31960
76,5538,5626,5571.00000,28.31960
77,5538,5626,5567.00000,27.42262
78,5538,5626,5566.00000,26.66458
79,5538,5626,5566.00000,26.66458
80,5538,5626,5565.00000,25.57342
81,5538,5626,5565.00000,25.57342
82,5538,5626,5565.00000,25.57342
83,5538,5626,5565.00000,25.57342
84,5538,5626,5565.00000,25.57342
85,5538,5626,5565.00000,25.57342
86,5538,5626,5565.00000,25.57342
87,5538,5626,5565.00000,25.57342
88,5538,5626,5565.00000,25.57342
89,5538,5626,5565.00000,25.57342
90,5538,5626,5565.00000,25.57342
91,5538,5626,5565.00000,25.57342
92,5538,5626,5565.00000,25.57342
93,5538,5626,5565.00000,25.57342
94,5538,5626,5565.00000,25.72936
95,5538,5626,5564.00000,25.96151
96,5538,5626,5564.00000,25.96151
97,5538,5626,5564.00000,25.96151
98,5538,5626,5564.00000,25.96151
99,5538,5626,5564.00000,25.96151
100,5538,5626,5564.00000,25.96151
101,5538,5626,5564.00000,25.96151
102,5538,5626,5564.00000,25.96151
103,5538,5626,5564.00000,25.96151
104,5538,5626,5564.00000,25.96151
105,5538,5626,5564.00000,25.96151
106,5538,5626,5564.00000,25.96151
107,5538,5626,5564.00000,25.96151
108,5538,5626,5564.00000,25.96151
109,5538,5626,5564.00000,25.96151
110,5538,5626,5564.00000,25.96151
111,5538,5626,5564.00000,25.96151
112,5538,5626,5564.00000,25.96151
113,5538,5626,5564.00000,25.96151
114,5538,5626,5564.00000,25.96151
115,5538,5626,5564.00000,25.96151
116,5538,5626,5564.00000,25.96151
117,5538,5626,5562.00000,25.29822
118,5538,5626,5559.00000,25.63201
119,5538,5626,5559.00000,25.63201
120,5538,5626,5559.00000,25.63201
121,5538,5626,5559.00000,25.63201
122,5538,5626,5559.00000,25.63201
123,5538,5626,5559.00000,25.63201
124,5538,5626,5559.00000,25.59297
125,5538,5626,5559.00000,25.59297
126,5538,5626,5559.00000,25.59297
127,5538,5626,5559.00000,25.59297
128,5538,5626,5559.00000,25.59297
129,5538,5626,5557.00000,25.80698
130,5538,5626,5557.00000,25.80698
131,5538,5626,5557.00000,25.76820
132,5538,5626,5557.00000,25.76820
133,5538,5626,5557.00000,25.76820
134,5538,5626,5557.00000,25.76820
135,5538,5626,5557.00000,25.76820
136,5520,5626,5555.00000,27.80288
137,5520,5626,5555.00000,27.80288
138,5520,5626,5555.00000,27.80288
139,5520,5626,5555.00000,27.80288
140,5520,5626,5555.00000,27.80288
141,5520,5626,5555.00000,27.80288
142,5520,5626,5555.00000,27.80288
143,5520,5626,5555.00000,27.80288
144,5520,5626,5555.00000,27.80288
145,5520,5626,5555.00000,27.80288
146,5520,5626,5555.00000,27.80288
147,5520,5626,5555.00000,27.80288
148,5520,5626,5555.00000,27.80288
149,5513,5626,5554.00000,28.86174
150,5513,5626,5554.00000,28.86174
151,5513,5626,5553.00000,29.56349
152,5513,5626,5553.00000,29.56349
153,5513,5626,5553.00000,29.56349
154,5513,5626,5553.00000,29.56349
155,5513,5626,5553.00000,29.41088
156,5513,5626,5553.00000,29.41088
157,5513,5626,5553.00000,29.41088
158,5513,5626,5551.00000,29.35984
159,5513,5626,5551.00000,29.35984
160,5513,5626,5551.00000,29.46184
161,5513,5626,5551.00000,29.46184
162,5513,5626,5551.00000,29.46184
163,5513,5626,5551.00000,29.46184
164,5513,5626,5551.00000,29.46184
165,5513,5626,5551.00000,29.46184
166,5513,5626,5551.00000,29.46184
167,5513,5626,5551.00000,29.46184
168,5513,5626,5549.00000,29.13760
169,5513,5626,5549.00000,29.13760
170,5513,5626,5549.00000,29.13760
171,5513,5626,5549.00000,29.13760
172,5513,5626,5549.00000,29.13760
173,5513,5626,5549.00000,29.13760
174,5513,5626,5549.00000,29.13760
175,5513,5626,5549.00000,29.13760
176,5513,5626,5549.00000,29.13760
177,5513,5626,5548.00000,29.29164
178,5513,5626,5548.00000,29.56349
179,5513,5626,5547.00000,29.49576
180,5513,5626,5547.00000,29.49576
181,5513,5626,5547.00000,29.49576
182,5513,5626,5547.00000,29.49576
183,5513,5626,5547.00000,29.49576
184,5513,5626,5547.00000,29.49576
185,5513,5626,5547.00000,29.49576
186,5513,5626,5547.00000,29.49576
187,5513,5626,5547.00000,29.49576
188,5513,5626,5547.00000,29.49576
189,5513,5626,5547.00000,29.49576
190,5513,5626,5547.00000,29.49576
191,5513,5626,5547.00000,29.49576
192,5513,5626,5547.00000,29.49576
193,5513,5626,5547.00000,29.49576
194,5513,5626,5547.00000,29.71532
195,5513,5626,5547.00000,29.71532
196,5513,5626,5547.00000,29.71532
197,5513,5626,5547.00000,29.71532
198,5513,5626,5547.00000,29.71532
199,5513,5626,5547.00000,29.71532
200,5505,5626,5546.00000,30.82207
201,5505,5626,5546.00000,30.82207
202,5505,5626,5546.00000,30.82207
203,5505,5626,5546.00000,30.82207
204,5505,5626,5546.00000,30.82207
205,5505,5626,5545.00000,31.06445
206,5505,5626,5545.00000,31.06445
207,5505,5626,5545.00000,31.06445
208,5505,5626,5545.00000,31.06445
209,5505,5626,5545.00000,31.12876
210,5505,5626,5545.00000,31.12876
211,5505,5626,5545.00000,31.12876
212,5505,5626,5545.00000,31.12876
213,5505,5626,5545.00000,31.12876
214,5505,5626,5545.00000,31.12876
215,5505,5626,5545.00000,31.12876
216,5505,5626,5545.00000,31.12876
217,5505,5626,5545.00000,31.12876
218,5505,5626,5544.00000,31.36877
219,5505,5626,5544.00000,31.36877
220,5505,5626,5544.00000,31.36877
221,5505,5626,5544.00000,31.36877
222,5505,5626,5544.00000,31.36877
223,5505,5626,5544.00000,31.36877
224,5505,5626,5544.00000,31.36877
225,5505,5626,5544.00000,31.71750
226,5505,5626,5544.00000,31.71750
227,5505,5626,5544.00000,31.71750
228,5505,5626,5544.00000,31.71750
229,5505,5626,5543.00000,31.82766
230,5505,5626,5543.00000,31.82766
231,5505,5626,5543.00000,31.82766
232,5505,5626,5543.00000,31.82766
233,5505,5626,5543.00000,31.96873
234,5505,5626,5543.00000,31.96873
235,5505,5626,5543.00000,31.96873
236,5505,5626,5543.00000,31.96873
237,5505,5626,5541.00000,32.55764
238,5505,5626,5541.00000,32.55764
239,5505,5626,5541.00000,32.55764
240,5505,5626,5541.00000,32.55764
241,5505,5626,5541.00000,32.55764
242,5505,5626,5541.00000,32.55764
243,5505,5626,5541.00000,32.55764
244,5505,5626,5541.00000,32.55764
245,5505,5626,5541.00000,32.55764
246,5505,5626,5541.00000,32.55764
247,5505,5626,5541.00000,32.55764
248,5505,5626,5541.00000,32.55764
249,5505,5626,5541.00000,32.55764
250,5505,5626,5541.00000,32.55764
