# generation,lower_bound,upper_bound,mean,stdev
1,1346,1384,1370.00000,11.91638
2,1346,1384,1370.00000,11.91638
3,1346,1377,1367.00000,9.64365
4,1346,1373,1360.00000,9.74679
5,1339,1370,1358.00000,10.81665
6,1339,1370,1353.00000,12.40967
7,1339,1370,1352.00000,11.57584
8,1339,1370,1351.00000,10.58301
9,1339,1370,1348.00000,9.89949
10,1324,1357,1339.00000,9.27362
11,1324,1344,1338.00000,7.28011
12,1324,1344,1336.00000,8.42615
13,1324,1344,1334.00000,9.05539
14,1324,1344,1334.00000,9.05539
15,1324,1344,1332.00000,7.74597
16,1314,1344,1331.00000,9.48683
17,1314,1344,1331.00000,9.48683
18,1314,1344,1331.00000,9.48683
19,1314,1339,1329.00000,8.71780
20,1314,1339,1329.00000,8.83176
21,1297,1339,1325.00000,12.96148
22,1297,1339,1325.00000,12.96148
23,1297,1339,1325.00000,12.96148
24,1297,1339,1323.00000,12.12436
25,1297,1339,1323.00000,12.12436
26,1297,1339,1323.00000,12.12436
27,1297,1339,1323.00000,12.12436
28,1297,1339,1323.00000,12.12436
29,1297,1339,1323.00000,12.12436
30,1297,1339,1322.00000,11.18034
31,1297,1339,1322.00000,11.18034
32,1297,1339,1322.00000,11.18034
33,1297,1339,1322.00000,11.09054
34,1297,1339,1322.00000,11.09054
35,1297,1339,1322.00000,11.04536
36,1297,1339,1322.00000,11.04536
37,1297,1339,1322.00000,11.04536
38,1297,1339,1322.00000,11.04536
39,1297,1339,1322.00000,11.04536
40,1297,1339,1322.00000,11.04536
41,1297,1339,1322.00000,11.04536
42,1297,1339,1320.00000,13.41641
43,1297,1339,1320.00000,13.41641
44,1297,1339,1320.00000,13.41641
45,1297,1339,1320.00000,13.41641
46,1297,1339,1320.00000,13.41641
47,1297,1339,1320.00000,13.41641
48,1297,1339,1320.00000,13.41641
49,1297,1339,1320.00000,13.41641
50,1297,1339,1320.00000,13.41641
51,1297,1339,1320.00000,13.41641
52,1297,1339,1320.00000,13.41641
53,1297,1339,1320.00000,13.41641
54,1297,1338,1320.00000,13.26650
55,1297,1332,1317.00000,11.74734
56,1297,1332,1317.00000,11.74734
57,1297,1332,1317.00000,11.74734
58,1297,1332,1317.00000,11.74734
59,1297,1332,1317.00000,11.66190
60,1297,1332,1317.00000,11.66190
61,1297,1332,1317.00000,11.66190
62,1297,1332,1317.00000,11.66190
63,1297,1332,1317.00000,11.66190
64,1297,1332,1317.00000,11.66190
65,1297,1332,1317.00000,11.66190
66,1297,1332,1317.00000,11.66190
67,1297,1332,1317.00000,11.66190
68,1297,1332,1317.00000,11.95826
69,1297,1332,1317.00000,11.95826
70,1297,1332,1317.00000,11.95826
71,1297,1332,1316.00000,12.12436
72,1297,1332,1316.00000,12.12436
73,1297,1332,1316.00000,12.00000
74,1297,1332,1315.00000,11.83216
75,1297,1332,1315.00000,11.83216
76,1297,1332,1315.00000,11.83216
77,1297,1332,1315.00000,11.83216
78,1297,1332,1315.00000,11.83216
79,1297,1332,1315.00000,11.74734
80,1297,1332,1315.00000,11.74734
81,1297,1332,1315.00000,11.74734
82,1297,1332,1315.00000,11.74734
83,1297,1332,1315.00000,11.74734
84,1297,1332,1315.00000,11.74734
85,1297,1332,1315.00000,11.74734
86,1297,1332,1315.00000,11.74734
87,1297,1332,1315.00000,11.74734
88,1297,1332,1315.00000,11.74734
89,1297,1332,1315.00000,11.74734
90,1297,1332,1315.00000,11.74734
91,1297,1332,1315.00000,11.74734
92,1297,1332,1315.00000,11.74734
93,1297,1332,1314.00000,12.88410
94,1297,1332,1314.00000,12.88410
95,1297,1332,1314.00000,12.88410
96,1297,1332,1314.00000,12.88410
97,1297,1332,1314.00000,12.88410
98,1297,1332,1314.00000,12.88410
99,1297,1332,1313.00000,13.22876
