# generation,lower_bound,upper_bound,mean,stdev
1,1760,1829,1807.00000,23.91652
2,1760,1829,1807.00000,23.91652
3,1756,1829,1800.00000,27.60435
4,1756,1827,1798.00000,25.98076
5,1756,1827,1792.00000,22.89105
6,1756,1807,1786.00000,17.46425
7,1744,1807,1780.00000,21.90890
8,1744,1806,1777.00000,19.49359
9,1744,1792,1771.00000,17.94436
10,1744,1792,1771.00000,17.86057
11,1712,1792,1767.00000,25.80698
12,1707,1787,1758.00000,29.79933
13,1707,1787,1758.00000,29.79933
14,1707,1787,1756.00000,28.68798
15,1707,1787,1756.00000,28.68798
16,1707,1787,1750.00000,29.22328
17,1707,1787,1749.00000,27.83882
18,1707,1787,1749.00000,27.83882
19,1707,1787,1749.00000,27.83882
20,1707,1787,1749.00000,27.76689
21,1707,1787,1748.00000,27.44085
22,1707,1787,1745.00000,26.47640
23,1707,1779,1744.00000,25.17936
24,1707,1779,1742.00000,23.72762
25,1707,1779,1742.00000,23.72762
26,1707,1779,1741.00000,24.10394
27,1707,1779,1740.00000,23.19483
28,1694,1762,1733.00000,23.72762
29,1694,1762,1733.00000,23.72762
30,1694,1762,1733.00000,22.95648
31,1694,1762,1733.00000,22.95648
32,1694,1762,1731.00000,22.75961
33,1694,1762,1729.00000,21.77154
34,1694,1745,1723.00000,18.94730
35,1694,1745,1723.00000,18.84144
36,1694,1745,1723.00000,18.84144
37,1694,1745,1723.00000,18.84144
38,1694,1745,1723.00000,18.84144
39,1694,1745,1723.00000,18.84144
40,1694,1745,1722.00000,18.86796
41,1694,1745,1720.00000,16.97056
42,1694,1745,1720.00000,16.97056
43,1694,1745,1720.00000,16.97056
44,1694,1745,1720.00000,17.17556
45,1694,1745,1720.00000,17.17556
46,1694,1745,1718.00000,17.74824
47,1689,1745,1716.00000,19.84943
48,1689,1745,1716.00000,19.84943
49,1689,1745,1716.00000,19.84943
50,1689,1745,1716.00000,19.84943
51,1689,1745,1716.00000,19.84943
52,1689,1745,1715.00000,19.94994
53,1689,1745,1715.00000,19.94994
54,1689,1745,1715.00000,19.94994
55,1689,1745,1715.00000,19.94994
56,1689,1745,1715.00000,19.94994
57,1689,1745,1715.00000,19.94994
58,1689,1745,1715.00000,19.94994
59,1689,1745,1715.00000,19.94994
60,1689,1745,1715.00000,20.51828
61,1689,1745,1715.00000,20.51828
62,1689,1745,1715.00000,20.51828
63,1689,1745,1715.00000,20.51828
64,1689,1745,1715.00000,20.51828
65,1689,1745,1715.00000,20.51828
66,1689,1745,1715.00000,20.51828
67,1689,1745,1715.00000,20.51828
68,1689,1745,1715.00000,20.51828
69,1689,1745,1715.00000,20.51828
