# generation,lower_bound,upper_bound,mean,stdev
1,11754,11876,11821.00000,37.41657
2,11754,11876,11821.00000,37.41657
3,11729,11865,11788.00000,45.80393
4,11701,11847,11766.00000,39.11521
5,11701,11791,11759.00000,27.56810
6,11696,11780,11744.00000,28.56571
7,11655,11778,11731.00000,35.84690
8,11567,11778,11717.00000,58.67708
9,11567,11778,11691.00000,65.46755
10,11567,11778,11682.00000,63.11894
11,11567,11778,11679.00000,63.30877
12,11567,11742,11674.00000,56.53318
13,11567,11742,11671.00000,54.18487
14,11567,11742,11653.00000,53.76802
15,11567,11734,11652.00000,52.33546
16,11567,11734,11625.00000,49.86983
17,11541,11734,11622.00000,53.72150
18,11541,11713,11617.00000,46.23851
19,11535,11713,11614.00000,50.04998
20,11516,11713,11601.00000,59.51470
21,11505,11713,11585.00000,67.19375
22,11493,11700,11579.00000,67.15653
23,11493,11643,11567.00000,55.27205
24,11460,11643,11553.00000,66.88797
25,11433,11641,11529.00000,66.79820
26,11433,11619,11524.00000,63.95311
27,11433,11619,11524.00000,63.95311
28,11433,11619,11521.00000,66.34003
29,11433,11619,11515.00000,60.43178
30,11433,11579,11508.00000,56.06247
31,11433,11579,11503.00000,51.86521
32,11433,11579,11501.00000,51.23475
33,11433,11579,11500.00000,49.45705
34,11399,11579,11496.00000,55.07268
35,11399,11579,11484.00000,57.31492
36,11399,11562,11477.00000,50.17968
37,11399,11548,11464.00000,40.34848
38,11399,11548,11463.00000,40.13726
39,11399,11548,11455.00000,41.36424
40,11391,11548,11452.00000,41.88078
41,11391,11548,11443.00000,43.97727
42,11391,11548,11442.00000,44.28318
43,11391,11548,11429.00000,46.62617
44,11391,11539,11428.00000,44.06813
45,11379,11539,11423.00000,47.82259
46,11379,11539,11419.00000,48.64155
47,11377,11539,11415.00000,50.48762
48,11364,11539,11412.00000,51.65269
49,11362,11539,11408.00000,54.26785
50,11362,11539,11405.00000,53.81450
51,11362,11539,11401.00000,55.54278
52,11362,11539,11400.00000,55.89275
53,11362,11539,11400.00000,55.89275
54,11329,11539,11393.00000,60.92618
55,11329,11539,11392.00000,60.81118
56,11329,11539,11389.00000,61.65225
57,11329,11539,11384.00000,65.60488
58,11329,11539,11380.00000,63.21392
59,11329,11539,11379.00000,63.23765
60,11329,11539,11378.00000,63.34035
61,11329,11539,11376.00000,63.52952
62,11329,11539,11375.00000,63.65532
63,11329,11539,11375.00000,63.74951
64,11310,11539,11369.00000,67.14164
65,11310,11539,11366.00000,69.15201
66,11310,11539,11366.00000,69.15201
67,11310,11539,11365.00000,69.54135
68,11308,11539,11360.00000,70.37755
69,11287,11539,11355.00000,74.01351
70,11275,11539,11352.00000,75.62407
71,11275,11520,11348.00000,69.72804
72,11275,11520,11347.00000,69.78539
73,11275,11519,11347.00000,69.51259
74,11275,11519,11346.00000,69.46942
75,11275,11519,11342.00000,70.56912
76,11275,11500,11336.00000,66.21933
77,11275,11500,11334.00000,66.28725
78,11275,11500,11333.00000,64.56005
79,11251,11500,11326.00000,66.53570
80,11251,11449,11314.00000,55.06360
81,11251,11449,11314.00000,55.08176
82,11244,11449,11314.00000,56.01785
83,11215,11449,11309.00000,60.54750
84,11215,11416,11306.00000,52.45951
85,11211,11416,11301.00000,51.23475
86,11211,11392,11297.00000,45.77117
87,11211,11392,11293.00000,50.49752
88,11211,11364,11289.00000,44.78839
89,11211,11364,11289.00000,44.78839
90,11211,11364,11288.00000,45.25483
91,11211,11364,11288.00000,45.25483
92,11211,11364,11287.00000,45.03332
93,11211,11364,11286.00000,44.97777
94,11211,11330,11282.00000,38.65230
95,11211,11330,11282.00000,38.65230
96,11211,11330,11281.00000,38.89730
97,11211,11330,11279.00000,38.06573
98,11211,11323,11277.00000,36.08324
99,11204,11323,11276.00000,37.53665
100,11204,11323,11276.00000,37.13489
101,11204,11317,11273.00000,36.12478
102,11204,11317,11273.00000,36.12478
103,11204,11317,11273.00000,36.26293
104,11204,11317,11273.00000,36.26293
105,11202,11317,11272.00000,36.68787
106,11202,11315,11268.00000,33.92639
107,11202,11315,11266.00000,33.30165
108,11202,11315,11264.00000,33.95585
109,11202,11315,11261.00000,36.18011
110,11202,11315,11261.00000,36.18011
111,11202,11315,11261.00000,36.87818
112,11202,11315,11261.00000,36.87818
113,11198,11315,11258.00000,37.92097
114,11198,11315,11258.00000,37.92097
115,11186,11315,11256.00000,40.87787
116,11186,11315,11256.00000,40.87787
117,11186,11315,11251.00000,38.65230
118,11186,11315,11251.00000,38.97435
119,11186,11315,11251.00000,39.01282
120,11178,11315,11250.00000,40.53394
121,11178,11315,11249.00000,40.54627
122,11178,11315,11249.00000,41.15823
123,11178,11315,11244.00000,42.46175
124,11178,11315,11244.00000,42.26109
125,11178,11315,11240.00000,44.17013
126,11178,11315,11240.00000,44.17013
127,11144,11315,11237.00000,50.40833
128,11144,11315,11237.00000,50.40833
129,11144,11315,11237.00000,50.40833
130,11144,11315,11237.00000,50.40833
131,11144,11315,11237.00000,50.12983
132,11144,11315,11237.00000,50.12983
133,11144,11315,11237.00000,50.12983
134,11144,11315,11235.00000,51.13707
135,11144,11315,11235.00000,51.13707
136,11133,11315,11233.00000,55.28110
137,11115,11315,11231.00000,59.05929
138,11115,11315,11229.00000,58.58327
139,11115,11315,11228.00000,59.35487
140,11115,11315,11227.00000,60.32412
141,11115,11315,11227.00000,60.32412
142,11115,11315,11227.00000,60.32412
143,11115,11315,11227.00000,60.32412
144,11115,11315,11227.00000,60.32412
145,11115,11315,11227.00000,60.95900
146,11115,11315,11227.00000,60.98360
147,11115,11315,11227.00000,60.98360
148,11115,11315,11227.00000,60.98360
149,11115,11315,11227.00000,60.98360
150,11115,11315,11227.00000,60.98360
151,11115,11315,11227.00000,60.98360
152,11115,11315,11227.00000,60.98360
153,11115,11315,11226.00000,60.82763
154,11115,11315,11226.00000,60.82763
155,11115,11315,11226.00000,60.82763
156,11115,11315,11226.00000,60.82763
157,11115,11315,11226.00000,60.82763
158,11115,11315,11226.00000,60.82763
159,11115,11315,11223.00000,58.52350
160,11115,11315,11223.00000,58.52350
161,11115,11315,11222.00000,59.61543
162,11115,11315,11221.00000,59.56509
163,11115,11315,11221.00000,59.56509
164,11115,11315,11221.00000,59.56509
165,11115,11315,11221.00000,59.56509
166,11097,11315,11220.00000,63.30877
167,11097,11315,11220.00000,63.30877
168,11097,11315,11220.00000,63.30877
169,11097,11315,11220.00000,63.24555
170,11097,11315,11220.00000,63.24555
171,11097,11315,11215.00000,61.97580
172,11097,11315,11215.00000,61.97580
173,11097,11315,11214.00000,62.14499
174,11097,11315,11214.00000,62.14499
175,11097,11315,11214.00000,62.14499
176,11097,11315,11214.00000,62.14499
177,11097,11315,11214.00000,62.14499
178,11092,11315,11214.00000,63.21392
179,11092,11315,11214.00000,63.21392
180,11092,11315,11214.00000,63.21392
181,11092,11315,11214.00000,63.21392
182,11092,11315,11214.00000,63.21392
183,11092,11315,11214.00000,63.21392
184,11092,11315,11214.00000,63.21392
185,11092,11315,11214.00000,63.21392
186,11092,11315,11214.00000,63.21392
187,11092,11315,11214.00000,63.21392
188,11092,11315,11212.00000,63.34035
189,11092,11315,11212.00000,63.34035
190,11092,11315,11212.00000,63.34035
191,11092,11315,11212.00000,63.34035
192,11092,11315,11212.00000,63.34035
193,11092,11315,11212.00000,63.34035
194,11092,11315,11212.00000,63.34035
195,11092,11315,11212.00000,63.34035
196,11092,11315,11212.00000,63.34035
197,11092,11315,11212.00000,63.34035
198,11092,11315,11212.00000,63.34035
199,11092,11315,11212.00000,63.34035
200,11092,11315,11212.00000,63.34035
201,11092,11315,11209.00000,62.64982
202,11092,11315,11209.00000,62.64982
203,11092,11315,11208.00000,62.51400
204,11092,11315,11208.00000,62.51400
205,11092,11315,11207.00000,62.94442
206,11092,11315,11205.00000,64.51356
207,11092,11315,11205.00000,64.51356
